mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
10.89800755182902,0.07682901012377702,0.4473228454589844,0.01559603168780648,,2,100,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}",0.7877578176979375,0.7896138482023968,0.7929427430093209,0.7901048029698851,0.002145015937616873,12
21.475810209910076,0.045843826512328094,0.9501436551411947,0.08943496056846334,,2,200,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}",0.7904191616766467,0.7882822902796272,0.7936085219707057,0.7907699913089932,0.002188530264806616,11
9.23309294382731,0.21999777661568712,0.3183198769887288,0.011988147549836134,,5,100,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 100}",0.7877578176979375,0.8015978695073236,0.7896138482023968,0.792989845135886,0.00613377398740335,9
18.647462685902912,0.16733411364545087,0.8683381080627441,0.08068439625129947,,5,200,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 200}",0.7950765136393879,0.7969374167776299,0.7916111850865513,0.7945417051678563,0.0022070645788284716,7
7.795704921086629,0.18685472201961792,0.35342836380004883,0.06386597031018748,10,2,100,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 100}",0.7930805056553559,0.800266311584554,0.796271637816245,0.7965394850187183,0.002939700472942667,4
16.542412996292114,0.20179367648031965,0.969531774520874,0.22313368599490133,10,2,200,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 200}",0.7984031936127745,0.8035952063914781,0.7996005326231691,0.8005329775424738,0.0022198107005190633,3
8.049086968104044,0.16508241232726142,0.3868505160013835,0.15238779832257143,10,5,100,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 100}",0.7977378576180971,0.8049267643142477,0.8035952063914781,0.8020866094412743,0.003122711795871526,1
15.51717758178711,0.23720648001994782,0.6756013234456381,0.11233965408306493,10,5,200,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 200}",0.8003992015968064,0.8035952063914781,0.8022636484687083,0.8020860188189977,0.001310795148305864,2
10.424569050470987,0.23398101725212767,0.41743795077006024,0.04308335091245064,20,2,100,"{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 100}",0.7850964737192282,0.7976031957390146,0.7909454061251664,0.7912150251944698,0.005109406015833389,10
20.035386721293133,0.3880278196163578,0.7998571395874023,0.05397763626459123,20,2,200,"{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 200}",0.7904191616766467,0.796271637816245,0.7956058588548602,0.7940988861159174,0.0026161159974383936,8
8.630666255950928,0.07246595771871214,0.41082946459452313,0.007554483117416435,20,5,100,"{'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 100}",0.7924151696606786,0.7976031957390146,0.7936085219707057,0.794542295790133,0.0022185361249796296,5
15.72142227490743,0.3896945937049438,0.5695228576660156,0.04899225447511251,20,5,200,"{'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 200}",0.7924151696606786,0.7969374167776299,0.7942743009320905,0.794542295790133,0.001855899724239146,5
